ปริมาณฝน(มิลลิเมตร) ราย 3 ชั่วโมง เฉลี่ย 2 สถานี ปี 2022-2024,,,,,,,,,,,,,
ที่,วันที่,วันที่,,,เวลาทำการตรวจ,,,,,,,,รวม
,,วัน,เดือน,ปี,0100,0400,0700,1000,1300,1600,1900,2200,
174,23/6/2022,23,6,2022,0,0,0,0,0,0,0,0,0
175,24/6/2022,24,6,2022,0,0,0,0,0,0,34.3,2.4,36.7
176,25/6/2022,25,6,2022,4.3,1.8,0,0,0,0.25,0,0,6.35
177,26/6/2022,26,6,2022,0,0,0,0,0,0,0,0,0
178,27/6/2022,27,6,2022,0,0,0,0,44.3,0,0,0,44.3
179,28/6/2022,28,6,2022,0,0,1.6,0,0,0,0.1,0.1,1.8
180,29/6/2022,29,6,2022,0,0,0,0,0,0,0.3,6.1,6.4
181,30/6/2022,30,6,2022,0,0,0,0,0,0,0.05,0.05,0.1
182,1/7/2022,1,7,2022,0,0,0,0,0,0,0,1.1,1.1
183,2/7/2022,2,7,2022,0,0,0,0,0,0,0,15.45,15.45
184,3/7/2022,3,7,2022,0.45,0,0,0,0,2.6,0,0,3.05
185,4/7/2022,4,7,2022,0,0,0,0,0,0,2,0,2
186,5/7/2022,5,7,2022,0.1,0.8,0,0,0,0,0,0,0.9
187,6/7/2022,6,7,2022,0,0,0,0,0,0,0,0,0
188,7/7/2022,7,7,2022,0,0,0,0,0,0,0,0,0
189,8/7/2022,8,7,2022,0,0,0,0,0,0,7.5,3.25,10.75
190,9/7/2022,9,7,2022,0.55,0.55,0.75,0,0,0,1.3,0,3.15
191,10/7/2022,10,7,2022,0,0.15,0,0,0,0,0,0,0.15
192,11/7/2022,11,7,2022,0.25,0,0,0.15,0,0,0,0,0.4
193,12/7/2022,12,7,2022,0,0,0,0,0,0.5,0.8,0.2,1.5
194,13/7/2022,13,7,2022,0,0,0.35,0.5,0.75,0,0,0,1.6
195,14/7/2022,14,7,2022,0,0,0,0,0,0,2.4,0,2.4
196,15/7/2022,15,7,2022,0.1,0,0,0,0,0,0,1.5,1.6
197,16/7/2022,16,7,2022,0,0,0,0,0,2.7,0,0,2.7
198,17/7/2022,17,7,2022,0,0,0,0,0,0,0,5.5,5.5
199,18/7/2022,18,7,2022,0,0,0,0,0,0,0,0,0
200,19/7/2022,19,7,2022,0,0,0,0,0,0,0,2.9,2.9
201,20/7/2022,20,7,2022,2,0.3,0,0,0,0,1.25,0.1,3.65
202,21/7/2022,21,7,2022,18.15,3.1,0.5,0,14.35,0.55,0,0,36.65
203,22/7/2022,22,7,2022,0,0,0,0.05,3.3,0,0.05,0.1,3.5
204,23/7/2022,23,7,2022,3.65,0.35,0,0,0.2,0,0,0,4.2
205,24/7/2022,24,7,2022,0,0,0,0,0,0,0,2.9,2.9
206,25/7/2022,25,7,2022,0.5,0,0,0,0,0,0,0,0.5
207,26/7/2022,26,7,2022,0,0,0,0,0,0,0,0,0
208,27/7/2022,27,7,2022,0,0,0,0,0,5.1,0,0,5.1
209,28/7/2022,28,7,2022,0,0,0,0,15.1,0.15,2.3,0,17.55
210,29/7/2022,29,7,2022,0,0,0,0.4,0,0.7,14.75,0.2,16.05
211,30/7/2022,30,7,2022,0,0,0,0,0,0,0,0,0
212,31/7/2022,31,7,2022,0,0,0,0,0,0,25.05,2.7,27.75
213,1/8/2022,1,8,2022,0.3,0,0,0,5,23.5,0,1.1,29.9
214,2/8/2022,2,8,2022,18.5,0.7,0,0,0.6,0,0.5,0,20.3
215,3/8/2022,3,8,2022,0.55,0.15,0,0,0,3.05,0.1,1,4.85
216,4/8/2022,4,8,2022,0,0,0,0,0,0,8.15,0.25,8.4
217,5/8/2022,5,8,2022,0.3,0,0,0.1,0,0,0.05,0,0.45
218,6/8/2022,6,8,2022,0,0,0,0,0,0,0,0,0
219,7/8/2022,7,8,2022,0,0,0,0,0,0,0,0,0
220,8/8/2022,8,8,2022,0,0,0.05,0.75,0.25,0,1.6,21.8,24.45
221,9/8/2022,9,8,2022,1,0,0.2,0.15,0,0,0,0,1.35
222,10/8/2022,10,8,2022,0,0,0,0,0,0,0,0,0
223,11/8/2022,11,8,2022,0,0,0,0,0,0,0,0,0
224,12/8/2022,12,8,2022,0,0,0,0,0,0,1.25,0,1.25
225,13/8/2022,13,8,2022,0,0,0,0,0,0,0,0,0
226,14/8/2022,14,8,2022,0,0,0,0,0,0,0,0,0
227,15/8/2022,15,8,2022,0,0,0,0,0,0,25,11.85,36.85
228,16/8/2022,16,8,2022,3.15,2.1,0.25,0,0,2.9,0.1,0.35,8.85
229,17/8/2022,17,8,2022,0.65,0,0,0,0,0.8,3,0,4.45
230,18/8/2022,18,8,2022,0,0,0,0,0,0,4.1,0,4.1
231,19/8/2022,19,8,2022,0,0,0,0,0,0,0,1.7,1.7
232,20/8/2022,20,8,2022,1.05,0,0,0,0,0,0,0,1.1
233,21/8/2022,21,8,2022,0,0,0,0,0,0,2.5,0.3,2.8
234,22/8/2022,22,8,2022,0,0,0,0,0,0.3,0.15,0,0.45
235,23/8/2022,23,8,2022,0,0,0,0,0,0,0,0,0
236,24/8/2022,24,8,2022,0,0,0,0,0,0,0,0,0
237,25/8/2022,25,8,2022,0,0,0.2,2.9,0.35,0,0,12.8,16.25
238,26/8/2022,26,8,2022,2.25,0.8,0,0,1.8,8.3,22.2,5.3,40.65
239,27/8/2022,27,8,2022,0,0,0,0,0,1.45,0,0,1.45
240,28/8/2022,28,8,2022,0,0,0,0,0,0,0,0,0
241,29/8/2022,29,8,2022,0,0,0,2.25,0,0,19.65,5.4,27.3
242,30/8/2022,30,8,2022,0,0,0,0,0,0,0,0,0
243,31/8/2022,31,8,2022,0,0,0,0,0,31.5,6.75,0,38.25
244,1/9/2022,1,9,2022,0,0,0,0,0,3.7,0,0,3.7
245,2/9/2022,2,9,2022,0,0,0,0,0,0,0,0,0
246,3/9/2022,3,9,2022,0,0,0,0,0.75,0.05,0,0,0.8
247,4/9/2022,4,9,2022,0,0,4.6,0,0,0,7.1,10.5,22.2
248,5/9/2022,5,9,2022,0.5,0,0,0,0,1.1,0,0,1.6
249,6/9/2022,6,9,2022,0,0,0,0,0,1.2,10.25,13.1,24.55
250,7/9/2022,7,9,2022,25.75,5.1,0,0.9,0,0,0,5,36.75
251,8/9/2022,8,9,2022,3.2,3.7,0.85,0,17.5,12.7,4.75,0,42.7
252,9/9/2022,9,9,2022,0,0,0,0,0,0,0,0,0
253,10/9/2022,10,9,2022,1.9,0.55,0.5,0,0,0,3.6,4.5,11.05
254,11/9/2022,11,9,2022,0,0,0,0,0,0,0,0,0
255,12/9/2022,12,9,2022,0,0,0.1,0,0,0.1,0.9,0,1.1
256,13/9/2022,13,9,2022,0,0,0,0,0,3,0.6,0,3.6
257,14/9/2022,14,9,2022,0,0,0,0,0,7.4,0.5,0.1,8
258,15/9/2022,15,9,2022,0,0,0,0,0,0,4.9,8.3,13.2
259,16/9/2022,16,9,2022,0.35,0.1,0,0,0,0,0,0,0.45
260,17/9/2022,17,9,2022,0,0,0,0,0,0,0,0,0
261,18/9/2022,18,9,2022,0,0,0,0,0,0,0,11.6,11.6
262,19/9/2022,19,9,2022,0.35,0,0,0,0,0,0,0,0.35
263,20/9/2022,20,9,2022,0,0,0,0,0.1,0,0,0,0.1
264,21/9/2022,21,9,2022,0,0,0,0,0,0,1.7,0,1.7
265,22/9/2022,22,9,2022,1.4,18.8,0.8,0,0,0,0,2.8,23.8
266,23/9/2022,23,9,2022,1.75,1.6,0.25,0,0.1,0,0,0,3.7
267,24/9/2022,24,9,2022,0.9,0.4,0.35,0.05,0,0.7,0,0,2.4
268,25/9/2022,25,9,2022,5.1,3,0.35,0,0.2,0,0,0.1,8.75
269,26/9/2022,26,9,2022,0.3,0.2,3.4,2.95,6.05,0.2,0,0,13.1
270,27/9/2022,27,9,2022,0,0,0,1.75,0,0,0,0,1.75
271,28/9/2022,28,9,2022,0,0,0,0,0,0,0,17,17
272,29/9/2022,29,9,2022,13.1,14.9,12.55,1.4,4.25,0.85,0.05,0,47.1
273,30/9/2022,30,9,2022,0,0,0,0.6,3,0.2,0,0,3.8
274,1/10/2022,1,10,2022,0,0,0,0,0,0,0,0,0
275,2/10/2022,2,10,2022,7.4,1,0,0,0,0,0,0,8.4
276,3/10/2022,3,10,2022,0,0,0,0,0,34,6.2,0.6,40.8
277,4/10/2022,4,10,2022,0,0,0,0,0,0,0.2,0,0.2
278,5/10/2022,5,10,2022,0,0,0,0,0.1,0.15,0,0,0.25
279,6/10/2022,6,10,2022,0,0,0,0,0,0,0.1,1.4,1.5
280,7/10/2022,7,10,2022,0,0,0,0,0,0.4,6,1,7.4
281,8/10/2022,8,10,2022,0,0,0.1,0,0,0,0,0,0.1
282,9/10/2022,9,10,2022,0.2,0,0,0,0,0.15,2.9,0,3.25
283,10/10/2022,10,10,2022,3,1.85,0.6,0.5,0.15,0,2.25,0.7,9.05
284,11/10/2022,11,10,2022,0.3,7.1,1,0,0,0,0,0,8.4
285,12/10/2022,12,10,2022,0,0,0,0,0,0,0,0,0
286,13/10/2022,13,10,2022,0,0,0,0,0,0,0,0,0
287,14/10/2022,14,10,2022,0,0,0,0,0,0,0,0,0
288,15/10/2022,15,10,2022,0,0,0,0,0,0,0,0,0
289,16/10/2022,16,10,2022,0,0,0,0,0,0,0,0,0
290,17/10/2022,17,10,2022,0,0,0,0,0,0,0,0,0
291,18/10/2022,18,10,2022,0,0,0,0,0,0,0,0,0
292,19/10/2022,19,10,2022,0,0,0,0,0,0,0,0,0
293,20/10/2022,20,10,2022,0,0,0,0,0,0,0,0,0
294,21/10/2022,21,10,2022,0,0,0,0,0,0,0,0,0
295,22/10/2022,22,10,2022,0,0,0,0,0,0,0,3,3
296,23/10/2022,23,10,2022,8.55,0,0,0,0,0,0,0,8.55
297,24/10/2022,24,10,2022,0,0,0,0,0,4.25,0,0,4.25
298,25/10/2022,25,10,2022,0,0,0,0,0,0,0,0,0
299,26/10/2022,26,10,2022,0,0,0,0,0,0,0,0,0
300,27/10/2022,27,10,2022,0.1,36.3,1.05,0,0,0,0,0,37.45
301,28/10/2022,28,10,2022,0,0,0,0,0,0,0,0,0
302,29/10/2022,29,10,2022,0,0,0,0,0,0,0,0,0
303,30/10/2022,30,10,2022,0,0,0,0,0,0,0,0,0
304,31/10/2022,31,10,2022,0,0,0,0,0,0,0,0,0
305,1/11/2022,1,11,2022,0,0,0,0,0,0,0,0,0
306,2/11/2022,2,11,2022,0,0,0,0,0,0,0,0,0
307,3/11/2022,3,11,2022,0,0,0,0,0,0,0,0,0
308,4/11/2022,4,11,2022,0,0,0,0,0,0,0,0,0
309,5/11/2022,5,11,2022,0,0,0,0,0,0,0,0,0
310,6/11/2022,6,11,2022,0,0,0,0,0,0,0,0,0
311,7/11/2022,7,11,2022,0,0,0,0,0,0,0,0,0
312,8/11/2022,8,11,2022,0,0,0,0,0,0,0,0,0
313,9/11/2022,9,11,2022,0,0,0,0,0,0,0,0,0
314,10/11/2022,10,11,2022,0,0,0,0,0,0,0,0,0
315,11/11/2022,11,11,2022,0,0,0,0,0,0,0,0,0
316,12/11/2022,12,11,2022,0,0,0,0,0,0,0,0,0
317,13/11/2022,13,11,2022,0,0,0,0,0,0,0,0.65,0.65
318,14/11/2022,14,11,2022,1.6,0.2,0,0,0,2.8,10.4,0.95,15.95
319,15/11/2022,15,11,2022,0,0,0,0,0,0,0,0,0
320,16/11/2022,16,11,2022,0,0,0,0,0,0.15,0,0,0.15
321,17/11/2022,17,11,2022,0,0,0,0,0,0,0,0,0
322,18/11/2022,18,11,2022,0,0,0,0,0,0,7.7,0,7.7
323,19/11/2022,19,11,2022,0,0,0,0,0,0.35,2.8,0,3.15
324,20/11/2022,20,11,2022,0,0,0,0,0,0,0,0.1,0.1
325,21/11/2022,21,11,2022,0,0,0,0,0,0,0,0,0
326,22/11/2022,22,11,2022,0,0,0,0,0,0,0,0,0
327,23/11/2022,23,11,2022,0,0,0,0,0,0.3,0,14.9,15.2
328,24/11/2022,24,11,2022,0.1,0.7,0.1,0.7,0,0,0.05,0.9,2.55
329,25/11/2022,25,11,2022,0,0,0,0,0,0,0,11.5,11.5
330,26/11/2022,26,11,2022,3.1,0.4,0,0,0,0,2.95,0,6.45
331,27/11/2022,27,11,2022,0,0,0,0,0.2,4.7,0,0,4.9
332,28/11/2022,28,11,2022,0,0,0,0,0,0,0,0,0
333,29/11/2022,29,11,2022,0,0,0,0,0,0,0,0,0
334,30/11/2022,30,11,2022,0,0,0,0,0,6.6,0.05,0,6.65
335,1/12/2022,1,12,2022,0,0,0,0,0,0,0,0,0
336,2/12/2022,2,12,2022,0.5,0,0,0,0,0,0,0,0.5
337,3/12/2022,3,12,2022,0,0,0,0,0,0,0,0,0
338,4/12/2022,4,12,2022,0,0,0,0,0,0,1.4,0,1.4
339,5/12/2022,5,12,2022,0,0,0,0,0,0,0,0,0
340,6/12/2022,6,12,2022,0,0,1.1,0,0,0,0,0,1.1
341,7/12/2022,7,12,2022,0,0,0,0,0,0,0.45,0.95,1.4
342,8/12/2022,8,12,2022,0,0,0,0,0,0,0,0,0
343,9/12/2022,9,12,2022,0,0,0,0,0,0,0,0,0
344,10/12/2022,10,12,2022,0,0,0,0,0,0,0,0,0
345,11/12/2022,11,12,2022,0,0,0,0,0,0,0,0,0
346,12/12/2022,12,12,2022,0,0,0,0,0,0,0,0,0
347,13/12/2022,13,12,2022,0,0,0,0,0,0,0,0,0
